Timestamp	GPU Usage Percentage	GPU Total Mem Usage	GPU Total Mem Usage Percentage	Process Mem Usage
1627392706.3524015	24	1180	14.79	
1627392707.3668706	0	1180	14.79	
1627392708.381675	0	1180	14.79	
1627392709.3977656	4	1632	20.45	
1627392710.4123497	11	6092	76.35	
1627392711.426903	95	6092	76.35	
1627392712.4434004	98	6092	76.35	
1627392713.4584165	98	6092	76.35	
1627392714.4728231	98	6092	76.35	
1627392715.4880831	98	6092	76.35	
1627392716.5099416	98	6092	76.35	
1627392717.5247703	98	6092	76.35	
1627392718.5402906	98	6092	76.35	
1627392719.560038	98	6092	76.35	
1627392720.574831	98	6092	76.35	
1627392721.5908318	98	6092	76.35	
1627392722.6057818	98	6092	76.35	
1627392723.620706	98	6092	76.35	
1627392724.6370757	98	6092	76.35	
1627392725.6521895	98	6092	76.35	
1627392726.666854	98	6092	76.35	
1627392727.6821222	98	6092	76.35	
1627392728.6971843	98	6092	76.35	
1627392729.7122698	98	6092	76.35	
1627392730.7270932	98	6092	76.35	
1627392731.7433434	98	6089	76.31	
1627392732.7574797	25	1180	14.79	
1627392733.7726898	3	1688	21.16	
1627392734.7874851	17	7180	89.99	
1627392735.8022752	80	6850	85.85	
1627392736.8165307	100	6850	85.85	
1627392737.832374	96	1180	14.79	
1627392738.8543649	11	1180	14.79	
1627392739.8690295	0	1180	14.79	
1627392740.9124568	0	1180	14.79	
1627392741.9278202	0	1432	17.95	
1627392742.9441643	8	2698	33.81	
1627392743.965128	44	1180	14.79	
1627392744.9859035	4	1180	14.79	
1627392746.0026016	0	1180	14.79	
1627392747.0171206	0	1604	20.1	
1627392748.0332778	10	5448	68.28	
1627392749.0508883	65	6850	85.85	
1627392750.066087	98	6850	85.85	
1627392751.080269	100	1180	14.79	
1627392752.0954509	35	1180	14.79	
1627392753.1100254	0	1566	19.63	
1627392754.1270149	9	5098	63.89	
1627392755.143577	51	6092	76.35	
1627392756.158241	98	6092	76.35	
1627392757.1743042	98	6092	76.35	
1627392758.1891513	98	6092	76.35	
1627392759.2038248	98	6092	76.35	
1627392760.2186806	98	6092	76.35	
